task_id,time,deadline,reward
1,4,29,95
2,9,259,29
3,5,759,14
4,18,107,76
5,14,46,4
6,3,226,30
7,17,633,4
8,18,221,92
9,18,447,29
10,15,618,36
11,1,778,21
12,14,362,36
13,5,225,98
14,11,115,12
15,13,112,46
16,12,630,34
17,2,749,59
18,18,145,49
19,3,568,38
20,20,926,47
21,19,215,91
22,3,49,85
23,8,799,38
24,3,878,30
25,4,393,36
26,15,665,47
27,6,385,46
28,7,693,35
29,3,626,82
30,6,552,94
31,8,175,60
32,13,289,82
33,18,242,88
34,11,874,99
35,2,236,5
36,11,421,35
37,3,219,73
38,11,228,84
39,16,421,83
40,15,161,34
41,5,257,96
42,18,569,34
43,19,457,75
44,13,383,29
45,5,526,64
46,3,776,7
47,4,160,81
48,6,817,88
49,14,624,9
50,13,403,77
51,15,556,33
52,18,899,2
53,4,702,69
54,9,796,83
55,11,125,38
56,14,175,59
57,1,977,93
58,9,521,98
59,6,525,14
60,10,871,82
61,17,640,26
62,5,387,98
63,6,558,100
64,17,957,1
65,20,351,63
66,1,115,47
67,10,255,8
68,8,907,73
69,3,90,94
70,16,851,9
71,18,802,17
72,5,680,61
73,18,187,34
74,17,910,78
75,14,230,70
76,7,737,40
77,13,700,84
78,12,460,67
79,15,138,32
80,8,73,44
81,1,603,71
82,8,610,29
83,1,73,91
84,2,236,9
85,2,882,43
86,3,529,31
87,9,694,63
88,7,559,17
89,19,609,61
90,8,811,61
91,14,208,13
92,4,678,56
93,12,445,53
94,15,899,94
95,2,691,84
96,4,66,52
97,11,830,14
98,8,204,25
99,18,477,18
100,14,201,36
101,15,270,10
102,15,842,71
103,4,55,84
104,18,874,2
105,3,951,97
106,8,178,53
107,16,508,28
108,13,937,8
109,6,394,1
110,13,284,59
111,10,443,90
112,18,695,92
113,16,174,25
114,10,232,8
115,19,772,70
116,2,767,41
117,2,53,75
118,16,530,68
119,6,64,66
120,3,874,24
121,3,612,9
122,8,421,16
123,19,271,75
124,20,60,80
125,3,432,85
126,19,597,67
127,11,968,34
128,7,692,92
129,11,255,34
130,13,147,86
131,10,478,41
132,3,12,59
133,20,596,13
134,3,553,28
135,17,288,17
136,12,914,9
137,8,386,37
138,6,454,70
139,10,636,84
140,17,25,86
141,18,324,85
142,4,965,18
143,9,127,14
144,18,177,35
145,10,629,27
146,11,219,88
147,9,526,63
148,9,936,7
149,3,652,55
150,9,54,1
151,11,800,17
152,9,174,95
153,15,579,91
154,14,588,2
155,4,81,89
156,5,563,5
157,12,608,71
158,5,445,17
159,2,317,47
160,2,922,46
161,7,705,32
162,4,366,100
163,18,923,53
164,20,787,20
165,8,893,21
166,6,908,53
167,1,184,95
168,11,812,53
169,8,281,21
170,4,395,5
171,16,243,26
172,15,373,40
173,8,236,4
174,7,415,43
175,9,894,9
176,9,368,83
177,17,426,87
178,18,357,4
179,4,902,34
180,6,600,34
181,2,113,77
182,14,367,94
183,11,457,78
184,17,135,50
185,19,213,33
186,2,727,56
187,1,533,69
188,7,379,56
189,3,974,86
190,11,649,41
191,4,741,39
192,17,333,86
193,14,348,52
194,10,577,17
195,7,437,86
196,13,706,96
197,6,636,73
198,10,425,71
199,1,312,37
200,7,447,75
201,20,690,42
202,15,467,57
203,7,530,61
204,6,680,11
205,10,537,85
206,20,363,12
207,8,696,40
208,8,833,26
209,5,30,6
210,8,494,79
211,3,469,54
212,19,218,92
213,13,519,52
214,8,159,84
215,1,915,97
216,4,801,55
217,8,188,90
218,17,492,7
219,18,273,16
220,15,151,60
221,17,589,77
222,11,983,97
223,15,642,93
224,17,453,71
225,15,933,21
226,16,476,34
227,8,868,82
228,9,793,100
229,17,513,81
230,8,289,57
231,3,733,37
232,8,286,43
233,11,925,70
234,3,144,20
235,8,400,89
236,5,728,28
237,3,427,53
238,11,566,60
239,14,77,27
240,14,412,99
241,19,987,90
242,1,878,98
243,19,408,62
244,1,966,46
245,10,781,50
246,14,565,96
247,18,837,78
248,8,507,29
249,9,455,63
250,1,399,44
251,13,754,22
252,15,956,17
253,20,566,4
254,13,619,73
255,1,86,83
256,14,152,60
257,6,57,34
258,13,348,28
259,15,349,44
260,13,297,97
261,14,272,11
262,16,35,96
263,18,71,45
264,8,673,9
265,2,774,4
266,8,212,3
267,20,176,31
268,5,489,86
269,4,581,28
270,15,731,33
271,12,183,78
272,20,785,92
273,4,800,21
274,10,120,75
275,1,952,40
276,19,712,49
277,13,977,92
278,7,84,76
279,8,112,90
280,10,880,88
281,20,844,16
282,19,820,6
283,12,557,55
284,12,82,65
285,11,23,54
286,16,124,56
287,12,662,59
288,5,450,23
289,17,683,35
290,20,847,69
291,16,492,56
292,19,293,42
293,8,858,12
294,9,911,58
295,8,776,60
296,19,643,86
297,13,357,4
298,16,887,42
299,6,505,28
300,12,828,34
